code,name,facility_type,district,latitude,longitude,bed_capacity,has_emergency,has_theatre,opens_24h,care_level
F053,Abokobi CHPS Compound,CHPS_COMPOUND,Ga East Municipal,5.7167,-0.1667,6,0,0,0,1
F054,Haatso Health Centre,HEALTH_CENTRE,Ga East Municipal,5.6667,-0.1833,12,0,0,0,1
F055,Ashongman Health Centre,HEALTH_CENTRE,Ga East Municipal,5.6833,-0.2167,12,0,0,0,1
F056,Trobu Health Centre,HEALTH_CENTRE,Ga North Municipal,5.6667,-0.2667,12,0,0,0,1
F057,Anyaa Health Centre,HEALTH_CENTRE,Ga North Municipal,5.6167,-0.2833,12,0,0,0,1
F058,Tabora Health Centre,HEALTH_CENTRE,Ga North Municipal,5.6083,-0.2667,12,0,0,0,1
F059,Awoshie CHPS Compound,CHPS_COMPOUND,Ga Central Municipal,5.5917,-0.2694,6,0,0,0,1
F060,Sowutuom CHPS Compound,CHPS_COMPOUND,Ga Central Municipal,5.6017,-0.2812,6,0,0,0,1
F061,Darkuman CHPS Compound,CHPS_COMPOUND,Ablekuma North Municipal,5.5793,-0.2508,6,0,0,0,1
F062,Chorkor Health Centre,HEALTH_CENTRE,Ablekuma South Municipal,5.5333,-0.2333,12,0,0,0,1
F063,Jamestown CHPS Compound,CHPS_COMPOUND,Ashiedu Keteke (Accra Metropolitan),5.5347,-0.2136,6,0,0,0,1
F064,Ussher Town CHPS Compound,CHPS_COMPOUND,Ashiedu Keteke (Accra Metropolitan),5.5389,-0.2158,6,0,0,0,1
F065,Osu Health Centre,HEALTH_CENTRE,La Dade-Kotopon Municipal,5.5558,-0.1817,12,0,0,0,1
F066,Labadi Health Centre,HEALTH_CENTRE,La Dade-Kotopon Municipal,5.5614,-0.1656,12,0,0,0,1
F067,Nima CHPS Compound,CHPS_COMPOUND,Ayawaso East Municipal,5.5833,-0.1972,6,0,0,0,1
F068,Maamobi CHPS Compound,CHPS_COMPOUND,Ayawaso East Municipal,5.5875,-0.1917,6,0,0,0,1
F069,Kotobabi Health Centre,HEALTH_CENTRE,Ayawaso East Municipal,5.5964,-0.1969,12,0,0,0,1
F070,Alajo CHPS Compound,CHPS_COMPOUND,Okaikwei North Municipal,5.6,-0.2167,6,0,0,0,1
F071,Kaneshie CHPS Compound,CHPS_COMPOUND,Ablekuma Central Municipal,5.5622,-0.2317,6,0,0,0,1
F072,Odorkor CHPS Compound,CHPS_COMPOUND,Ablekuma North Municipal,5.5722,-0.2494,6,0,0,0,1
F073,North Legon CHPS Compound,CHPS_COMPOUND,Ayawaso West Municipal,5.6608,-0.1869,6,0,0,0,1
F074,East Legon Polyclinic,POLYCLINIC,Ayawaso West Municipal,5.6494,-0.1608,40,1,0,0,2
F075,East Legon CHPS Compound,CHPS_COMPOUND,Ayawaso West Municipal,5.6494,-0.1608,6,0,0,0,1
F076,Spintex Health Centre,HEALTH_CENTRE,Ledzokuku Municipal,5.6247,-0.1258,12,0,0,0,1
F077,Spintex Ambulance Station,AMBULANCE_STATION,Ledzokuku Municipal,5.6247,-0.1258,0,1,0,1,1
F078,Baatsona CHPS Compound,CHPS_COMPOUND,Ledzokuku Municipal,5.6297,-0.1094,6,0,0,0,1
F079,Baatsona Health Centre,HEALTH_CENTRE,Ledzokuku Municipal,5.6297,-0.1094,12,0,0,0,1
F080,Community 25 CHPS Compound,CHPS_COMPOUND,Tema Metropolitan,5.6864,-0.0197,6,0,0,0,1
F081,Community 25 Ambulance Station,AMBULANCE_STATION,Tema Metropolitan,5.6864,-0.0197,0,1,0,1,1
F082,Old Fadama CHPS Compound,CHPS_COMPOUND,Ayawaso East Municipal,5.5461,-0.2244,6,0,0,0,1
F083,Old Fadama Health Centre,HEALTH_CENTRE,Ayawaso East Municipal,5.5461,-0.2244,12,0,0,0,1
F084,Agbogbloshie Health Centre,HEALTH_CENTRE,Accra Metropolitan,5.5486,-0.2222,12,0,0,0,1
F085,Agbogbloshie CHPS Compound,CHPS_COMPOUND,Accra Metropolitan,5.5486,-0.2222,6,0,0,0,1
F086,Korle Gonno CHPS Compound,CHPS_COMPOUND,Ablekuma South Municipal,5.5322,-0.2308,6,0,0,0,1
F087,Korle Gonno Health Centre,HEALTH_CENTRE,Ablekuma South Municipal,5.5322,-0.2308,12,0,0,0,1
F088,Kokomlemle Health Centre,HEALTH_CENTRE,Okaikwei North Municipal,5.5697,-0.2039,12,0,0,0,1
F089,Kokomlemle CHPS Compound,CHPS_COMPOUND,Okaikwei North Municipal,5.5697,-0.2039,6,0,0,0,1
F090,Adabraka Polyclinic,POLYCLINIC,Accra Metropolitan,5.5589,-0.2075,40,1,0,0,2
F091,Adabraka CHPS Compound,CHPS_COMPOUND,Accra Metropolitan,5.5589,-0.2075,6,0,0,0,1
F092,Abossey Okai CHPS Compound,CHPS_COMPOUND,Ablekuma Central Municipal,5.5561,-0.2278,6,0,0,0,1
F093,Abossey Okai Ambulance Station,AMBULANCE_STATION,Ablekuma Central Municipal,5.5561,-0.2278,0,1,0,1,1
F094,Kanda Health Centre,HEALTH_CENTRE,Okaikwei North Municipal,5.5744,-0.1978,12,0,0,0,1
F095,Kanda CHPS Compound,CHPS_COMPOUND,Okaikwei North Municipal,5.5744,-0.1978,6,0,0,0,1
F096,Roman Ridge CHPS Compound,CHPS_COMPOUND,Ayawaso West Municipal,5.5975,-0.1806,6,0,0,0,1
F097,Roman Ridge Ambulance Station,AMBULANCE_STATION,Ayawaso West Municipal,5.5975,-0.1806,0,1,0,1,1
F098,Cantonments Health Centre,HEALTH_CENTRE,Ayawaso West Municipal,5.5722,-0.1739,12,0,0,0,1
F099,Cantonments Medical Store,MEDICAL_STORE,Ayawaso West Municipal,5.5722,-0.1739,0,0,0,0,2
F100,Abelemkpe CHPS Compound,CHPS_COMPOUND,Okaikwei North Municipal,5.5875,-0.2078,6,0,0,0,1
F101,Abelemkpe Health Centre,HEALTH_CENTRE,Okaikwei North Municipal,5.5875,-0.2078,12,0,0,0,1
F102,Kpone Ambulance Station,AMBULANCE_STATION,Kpone Katamanso Municipal,5.6933,0.045,0,1,0,1,1
F103,Kpone CHPS Compound,CHPS_COMPOUND,Kpone Katamanso Municipal,5.6933,0.045,6,0,0,0,1
F104,Sege CHPS Compound,CHPS_COMPOUND,Ningo-Prampram District,5.7667,0.1333,6,0,0,0,1
F105,Sege Health Centre,HEALTH_CENTRE,Ningo-Prampram District,5.7667,0.1333,12,0,0,0,1
F106,Afienya Health Centre,HEALTH_CENTRE,Kpone Katamanso Municipal,5.7333,0.0167,12,0,0,0,1
F107,Afienya CHPS Compound,CHPS_COMPOUND,Kpone Katamanso Municipal,5.7333,0.0167,6,0,0,0,1
F108,Ashalaja CHPS Compound,CHPS_COMPOUND,Ga South Municipal,5.6544,-0.3339,6,0,0,0,1
F109,Ashalaja Ambulance Station,AMBULANCE_STATION,Ga South Municipal,5.6544,-0.3339,0,1,0,1,1
F110,Ngleshie Amanfro Health Centre,HEALTH_CENTRE,Ga South Municipal,5.5544,-0.373,12,0,0,0,1
F111,Ngleshie Amanfro CHPS Compound,CHPS_COMPOUND,Ga South Municipal,5.5544,-0.373,6,0,0,0,1
F112,Kokrobite CHPS Compound,CHPS_COMPOUND,Ga South Municipal,5.5081,-0.4083,6,0,0,0,1
F113,Kokrobite Health Centre,HEALTH_CENTRE,Ga South Municipal,5.5081,-0.4083,12,0,0,0,1
F114,North Kwabenya Health Centre,HEALTH_CENTRE,Ga East Municipal,5.6739,-0.2183,12,0,0,0,1
F115,North Kwabenya Oxygen Depot,OXYGEN_DEPOT,Ga East Municipal,5.6739,-0.2183,0,0,0,1,2
F116,Ablekuma South Government Hospital,DISTRICT_HOSPITAL,Ablekuma South Municipal,5.5544,-0.2586,120,1,1,1,3
F117,Ablekuma South Ambulance Station,AMBULANCE_STATION,Ablekuma South Municipal,5.5544,-0.2586,0,1,0,1,1
