link_id,from_facility_id,to_facility_id,distance_km,base_time_min,traffic_weight,road_condition,is_one_way,route_name
74,F026,F091,0.46,1.2,2.2,GOOD,0,
75,F091,F026,0.46,1.2,2.2,GOOD,0,
76,F027,F094,1.6,5,2.3,GOOD,0,
77,F094,F027,1.6,5,2.3,GOOD,0,
78,F028,F033,0.83,1.5,1.1,GOOD,0,
79,F033,F028,0.83,1.5,1.1,GOOD,0,
80,F028,F057,0.95,2.6,1.3,POOR,0,
81,F057,F028,0.95,2.6,1.3,POOR,0,
82,F029,F050,0.43,1,2.6,FAIR,0,
83,F050,F029,0.43,1,2.6,FAIR,0,
84,F031,F036,0.17,0.5,1.9,GOOD,0,
85,F036,F031,0.17,0.5,1.9,GOOD,0,
86,F031,F113,0.22,0.4,2.3,POOR,1,
87,F032,F046,0.18,0.4,1.7,POOR,0,
88,F046,F032,0.18,0.4,1.7,POOR,0,
89,F033,F075,4.03,11.4,1.9,GOOD,0,
90,F075,F033,4.03,11.4,1.9,GOOD,0,
91,F035,F102,0.83,2.2,2.8,GOOD,0,
92,F102,F035,0.83,2.2,2.8,GOOD,0,
93,F036,F041,0.59,1.3,1.1,POOR,0,
94,F041,F036,0.59,1.3,1.1,POOR,0,
95,F037,F060,0.95,1.7,2.9,FAIR,0,
96,F060,F037,0.95,1.7,2.9,FAIR,0,
97,F037,F073,0.43,1,1.4,GOOD,1,
98,F037,F079,0.59,1.4,3,GOOD,0,
99,F079,F037,0.59,1.4,3,GOOD,0,
100,F038,F068,0.25,0.6,1.8,POOR,0,
101,F068,F038,0.25,0.6,1.8,POOR,0,
102,F038,F077,0.41,0.9,2.4,GOOD,0,
103,F077,F038,0.41,0.9,2.4,GOOD,0,
104,F038,F111,0.71,1.2,2.2,FAIR,0,
105,F111,F038,0.71,1.2,2.2,FAIR,0,
106,F039,F069,0.19,0.6,2.2,FAIR,0,
107,F069,F039,0.19,0.6,2.2,FAIR,0,
108,F039,F072,0.5,1.5,2.9,GOOD,0,
109,F072,F039,0.5,1.5,2.9,GOOD,0,
110,F040,F094,0.18,0.4,2.4,GOOD,1,
111,F041,F105,0.86,1.6,1.5,FAIR,0,
112,F105,F041,0.86,1.6,1.5,FAIR,0,
113,F042,F098,0.69,1.6,2.2,FAIR,0,
114,F098,F042,0.69,1.6,2.2,FAIR,0,
115,F042,F110,0.31,0.9,2.4,GOOD,0,
116,F110,F042,0.31,0.9,2.4,GOOD,0,
117,F043,F061,0.19,0.4,1.6,GOOD,0,
118,F061,F043,0.19,0.4,1.6,GOOD,0,
119,F043,F093,0.61,1.9,1.9,POOR,0,
120,F093,F043,0.61,1.9,1.9,POOR,0,
121,F044,F045,0.21,0.7,1.4,GOOD,0,
122,F045,F044,0.21,0.7,1.4,GOOD,0,
123,F044,F109,1.04,1.9,2.8,GOOD,0,
124,F109,F044,1.04,1.9,2.8,GOOD,0,
125,F045,F063,0.2,0.4,2.4,FAIR,0,
126,F063,F045,0.2,0.4,2.4,FAIR,0,
127,F045,F071,0.66,1.4,1,FAIR,0,
128,F071,F045,0.66,1.4,1,FAIR,0,
129,F045,F099,0.78,1.6,2.9,GOOD,1,
130,F046,F077,0.74,2.2,2.1,GOOD,0,
131,F077,F046,0.74,2.2,2.1,GOOD,0,
132,F047,F092,0.62,1.2,1.4,FAIR,0,
133,F092,F047,0.62,1.2,1.4,FAIR,0,
134,F048,F082,0.82,1.9,2.8,FAIR,1,
135,F048,F083,1.37,3.3,1.6,GOOD,0,
136,F083,F048,1.37,3.3,1.6,GOOD,0,
137,F048,F090,0.75,1.6,1.5,FAIR,0,
138,F090,F048,0.75,1.6,1.5,FAIR,0,
139,F049,F051,0.83,2,1,GOOD,0,
140,F051,F049,0.83,2,1,GOOD,0,
141,F049,F087,0.3,0.5,2.1,FAIR,0,
142,F087,F049,0.3,0.5,2.1,FAIR,0,
143,F050,F060,1.45,4.2,1.3,GOOD,0,
144,F060,F050,1.45,4.2,1.3,GOOD,0,
145,F050,F087,0.01,1,2.7,POOR,0,
146,F087,F050,0.01,1,2.7,POOR,0,
147,F051,F076,0.94,2.5,1.2,FAIR,0,
148,F076,F051,0.94,2.5,1.2,FAIR,0,
149,F051,F114,0.37,0.9,2.2,GOOD,0,
150,F114,F051,0.37,0.9,2.2,GOOD,0,
151,F052,F106,0.57,1,3,FAIR,0,
152,F106,F052,0.57,1,3,FAIR,0,
153,F053,F065,0.78,2.5,2.5,GOOD,0,
154,F065,F053,0.78,2.5,2.5,GOOD,0,
155,F054,F059,0.71,1.3,2.7,FAIR,0,
156,F059,F054,0.71,1.3,2.7,FAIR,0,
157,F055,F064,1.24,2.4,1.2,POOR,0,
158,F064,F055,1.24,2.4,1.2,POOR,0,
159,F055,F109,0.33,0.9,2.6,GOOD,0,
160,F109,F055,0.33,0.9,2.6,GOOD,0,
161,F056,F109,0.71,1.4,1.5,GOOD,0,
162,F109,F056,0.71,1.4,1.5,GOOD,0,
163,F057,F059,0.8,2,2.7,POOR,0,
164,F059,F057,0.8,2,2.7,POOR,0,
165,F058,F115,1.01,2.1,1.8,POOR,0,
166,F115,F058,1.01,2.1,1.8,POOR,0,
167,F059,F111,1.37,2.4,1.2,POOR,0,
168,F111,F059,1.37,2.4,1.2,POOR,0,
169,F060,F081,0.75,1.3,1.5,GOOD,0,
170,F081,F060,0.75,1.3,1.5,GOOD,0,
171,F061,F115,0.22,0.4,1.6,FAIR,0,
172,F115,F061,0.22,0.4,1.6,FAIR,0,
173,F062,F117,0.33,0.8,2.2,GOOD,0,
174,F117,F062,0.33,0.8,2.2,GOOD,0,
175,F063,F067,1,3.3,2.9,FAIR,0,
176,F067,F063,1,3.3,2.9,FAIR,0,
177,F064,F095,0.34,0.7,2.3,GOOD,1,
178,F065,F074,1,2,1.7,GOOD,0,
179,F074,F065,1,2,1.7,GOOD,0,
180,F065,F085,0.05,1,1.6,GOOD,0,
181,F085,F065,0.05,1,1.6,GOOD,0,
182,F066,F108,1,2.4,1.6,GOOD,0,
183,F108,F066,1,2.4,1.6,GOOD,0,
184,F069,F113,0.16,0.3,2.4,POOR,0,
185,F113,F069,0.16,0.3,2.4,POOR,0,
186,F070,F089,0.85,2.2,2.1,GOOD,0,
187,F089,F070,0.85,2.2,2.1,GOOD,0,
188,F072,F112,0.09,0.2,2.2,FAIR,0,
189,F112,F072,0.09,0.2,2.2,FAIR,0,
190,F073,F089,0.45,1.1,1.4,GOOD,0,
191,F089,F073,0.45,1.1,1.4,GOOD,0,
192,F075,F096,2.19,4.2,1.3,GOOD,0,
193,F096,F075,2.19,4.2,1.3,GOOD,0,
194,F076,F106,0.57,1.2,1.7,FAIR,0,
195,F106,F076,0.57,1.2,1.7,FAIR,0,
196,F078,F117,0.13,0.3,1.4,GOOD,1,
197,F079,F107,0.35,0.9,2,FAIR,1,
198,F081,F100,1.63,3.9,2.3,GOOD,0,
199,F100,F081,1.63,3.9,2.3,GOOD,0,
200,F086,F094,0.26,0.6,1.5,FAIR,1,
201,F086,F104,0.94,1.8,2.5,GOOD,0,
202,F104,F086,0.94,1.8,2.5,GOOD,0,
203,F088,F105,1.14,3.3,2.9,FAIR,1,
204,F089,F116,0.49,1.3,2.7,GOOD,0,
205,F116,F089,0.49,1.3,2.7,GOOD,0,
206,F093,F112,0.74,1.5,3,FAIR,0,
207,F112,F093,0.74,1.5,3,FAIR,0,
208,F097,F102,1.96,3.5,2.2,FAIR,0,
209,F102,F097,1.96,3.5,2.2,FAIR,0,
210,F099,F105,1.03,1.9,2.1,POOR,0,
211,F105,F099,1.03,1.9,2.1,POOR,0,
212,F100,F103,1,2.3,1.5,GOOD,0,
213,F103,F100,1,2.3,1.5,GOOD,0,
214,F101,F108,0.38,0.7,2,FAIR,0,
215,F108,F101,0.38,0.7,2,FAIR,0,
216,F106,F117,0.84,2.6,1.6,GOOD,0,
217,F117,F106,0.84,2.6,1.6,GOOD,0,
